title,budget,revenue
"To Wong Foo, Thanks for Everything! Julie Newmar",0.0,47774193.0
Under Siege 2: Dark Territory,60000000.0,104324083.0
Unstrung Heroes,0.0,0.0
Unzipped,0.0,0.0
A Walk in the Clouds,20000000.0,50012507.0
Waterworld,175000000.0,264218220.0
White Man's Burden,7000000.0,9000000.0
Wild Bill,0.0,0.0
The Browning Version,0.0,487391.0
Bushwhacked,0.0,7919823.0
Burnt by the Sun,55000000.0,0.0
Before the Rain,0.0,763847.0
Before Sunrise,2500000.0,5987386.0
Billy Madison,10000000.0,26488734.0
The Babysitter,0.0,0.0
Boys on the Side,21000000.0,23450000.0
The Cure,0.0,2568235.0
Castle Freak,0.0,0.0
Circle of Friends,15000000.0,45000000.0
Clerks,27575.0,3151130.0
Don Juan DeMarco,25000000.0,68792531.0
Disclosure,55000000.0,214015089.0
Dream Man,0.0,0.0
Drop Zone,45000000.0,62000000.0
Destiny Turns on the Radio,0.0,1200000.0
Death and the Maiden,12000000.0,8003716.0
Dolores Claiborne,13000000.0,46400000.0
Dumb and Dumber,40000000.0,169837010.0
Eat Drink Man Woman,0.0,7294403.0
Exotica,2000000.0,4221036.0
Exit to Eden,27500000.0,6800000.0
Ed Wood,18000000.0,5900000.0
French Kiss,3500000.0,14751272.0
Forget Paris,0.0,33177694.0
Far from Home: The Adventures of Yellow Dog,0.0,0.0
A Goofy Movie,18000000.0,35348597.0
Hideaway,15000000.0,12201255.0
Fluke,15000000.0,4000000.0
Farinelli,0.0,0.0
Gordy,0.0,3992809.0
Gumby: The Movie,2800000.0,57100.0
The Glass Shield,5000000.0,3291163.0
Hoop Dreams,700000.0,7830611.0
Heavenly Creatures,5000000.0,3049135.0
Houseguest,10500000.0,26300000.0
Immortal Beloved,120.0,0.0
Heavyweights,10000000.0,17700000.0
The Hunted,55000000.0,34234008.0
I.Q.,25000000.0,26381221.0
Interview with the Vampire,60000000.0,223664608.0
Jefferson in Paris,14000000.0,2474000.0
The Jerky Boys,0.0,0.0
Junior,0.0,0.0
Just Cause,0.0,36853111.0
A Kid in King Arthur's Court,0.0,0.0
Kiss of Death,40000000.0,14942422.0
Star Wars,11000000.0,775398007.0
Little Women,18000000.0,50083616.0
A Little Princess,17000000.0,10000000.0
Ladybird Ladybird,0.0,0.0
