id,title,budget,revenue,date_id
18402,Something to Talk About,1.2E7,5.089216E7,19950804
9348,Species,3.5E7,1.13374103E8,19950707
281,Strange Days,4.2E7,7959291.0,19951013
79593,The Tie That Binds,1.4E7,5780000.0,19950908
47939,Three Wishes,780000.0,7025496.0,19951027
36834,Total Eclipse,8000000.0,339889.0,19951102
3512,Under Siege 2: Dark Territory,6.0E7,1.04324083E8,19950713
9560,A Walk in the Clouds,2.0E7,5.0012507E7,19950811
9804,Waterworld,1.75E8,2.6421822E8,19950728
26258,Bushwhacked,2.744E7,2.7729359E7,19950804
50797,Burnt by the Sun,2800000.0,2616503.0,19940501
76,Before Sunrise,2500000.0,5535405.0,19950127
11017,Billy Madison,1.0E7,2.6488734E7,19950210
9382,Boys on the Side,2.1E7,2.345E7,19950203
6715,The Cure,4.3E7,5.6681566E7,19950421
18256,Castle Freak,8000000.0,4600000.0,19950804
1909,Don Juan DeMarco,2.5E7,2.22E7,19941001
8984,Disclosure,5.5E7,2.14015089E8,19941209
61813,Dream Man,2800000.0,2.6E7,19950101
4954,Drop Zone,4.5E7,8009329.0,19941208
11929,Dolores Claiborne,1.2E7,3.8528984E7,19950324
8467,Dumb and Dumber,1.6E7,2.47275374E8,19941216
10451,Eat Drink Man Woman,2.1E7,7294403.0,19940803
20156,Exotica,4000000.0,851156.0,19940924
522,Ed Wood,1.8E7,5887457.0,19940927
10525,Forget Paris,7000000.0,6000000.0,19950519
27303,Hideaway,1.5E7,1.2201255E7,19950303
47867,Gordy,7000000.0,3992809.0,19950512
72031,The Glass Shield,2.0E7,1.89E7,19940916
14275,Hoop Dreams,2.0E7,7830611.0,19940912
1024,Heavenly Creatures,5000000.0,3049135.0,19940902
17207,Houseguest,1.05E7,2.6325256E7,19950106
11777,I.Q.,2.5E7,4100000.0,19941224
628,Interview with the Vampire,6.0E7,2.23664608E8,19941111
87729,Jefferson in Paris,491000.0,2474000.0,19950331
6280,Junior,6.0E7,3.7E7,19941122
6071,Kiss of Death,4.0E7,1.11898845E8,19950421
11,Star Wars,1.1E7,7.75398007E8,19770524
9587,Little Women,1.8E7,2.9882645E7,19941221
18183,Like Water for Chocolate,2000000.0,2.1665468E7,19920416
4476,Legends of the Fall,3.0E7,1.60638883E8,19941216
47504,Little Odessa,2280000.0,1700000.0,19941027
43742,Love Affair,6.0E7,3000000.0,19941021
28313,Losing Isaiah,1.7E7,7603766.0,19950317
3036,Mary Shelley's Frankenstein,4.5E7,1.12006296E8,19941104
40490,Man of the House,1.0E7,4000000.0,19950303
