id,title,budget,revenue,date_id
2045,Unforgettable,18000000.0,1868949.0,19960223
9614,Happy Gilmore,12000000.0,41205099.0,19960216
688,The Bridges of Madison County,24000000.0,182016617.0,19950528
10874,Muppet Treasure Island,1500000.0,34327391.0,19960216
96357,Headless Body in Topless Bar,900000.0,898994.0,19950520
197,Braveheart,72000000.0,210000000.0,19950524
103,Taxi Driver,1300000.0,28262574.0,19760207
33542,Rumble in the Bronx,250000.0,32392047.0,19950130
71754,Margaret's Museum,80000000.0,5989640.0,19950913
16934,The Young Poisoner's Handbook,14000000.0,547333.0,19950120
10324,If Lucy Fell,19000000.0,141407024.0,19960308
78406,Steal Big Steal Little,25000000.0,6278139.0,19950929
11066,Boomerang,40000000.0,70100000.0,19920630
11104,Chungking Express,10000000.0,365734.0,19940714
2074,Flirting with Disaster,7000000.0,14702438.0,19960322
44284,The Silences of the Palace,32000000.0,36700000.0,19940930
11863,Jade,50000000.0,9851610.0,19951013
55475,Nueba Yol,17000000.0,293671.0,19950816
11000,The Birdcage,31000000.0,185260553.0,19960308
16388,The Brothers McMullen,14000000.0,254988.0,19950809
9737,Bad Boys,19000000.0,141407024.0,19950407
10474,The Basketball Diaries,3500000.0,3657876.0,19950421
22279,An Awfully Big Adventure,4000000.0,851545.0,19950721
30157,Amateur,20000000.0,45847751.0,19940805
568,Apollo 13,52000000.0,355237933.0,19950630
11780,Rob Roy,28000000.0,31596911.0,19950413
34996,The Addiction,7500000.0,6584159.0,19950110
414,Batman Forever,100000000.0,336529144.0,19950616
649,Belle de Jour,20000000.0,70700000.0,19670524
1873,Beyond Rangoon,2295691.0,1593126.0,19950524
5894,Blue in the Face,4000000.0,1275000.0,19950915
1775,Canadian Bacon,6000000.0,178104.0,19950608
8839,Casper,50000000.0,287928194.0,19950526
20649,Clockers,25000000.0,13071518.0,19950915
10329,Congo,50000000.0,152022101.0,19950609
8963,Crimson Tide,780000.0,157387195.0,19950512
26564,Crumb,4500000.0,3174695.0,19940910
8068,Desperado,250000.0,25405445.0,19950825
8512,Devil in a Blue Dress,27000000.0,16140822.0,19950915
1572,Die Hard: With a Vengeance,1500000.0,366101666.0,19950519
13552,The Doom Generation,1500000.0,3187700.0,19951027
6520,First Knight,55000000.0,127600435.0,19950707
10428,Hackers,20000000.0,7563728.0,19950914
9482,Judge Dredd,90000000.0,113493481.0,19950630
9344,Kids,1500000.0,7412216.0,19950728
9071,Living in Oblivion,500000.0,1148752.0,19950120
47608,Mad Love,800000.0,15453274.0,19950526
2293,Mallrats,6000000.0,2122561.0,19951020
9070,Mighty Morphin Power Rangers: The Movie,15000000.0,66000000.0,19950630
34574,Nadja,150000000.0,474968763.0,19940913
1642,The Net,22000000.0,110627965.0,19950728
36196,Party Girl,23000000.0,472370.0,19950609
10533,The Scarlet Letter,50000000.0,10382407.0,19951013
56088,The Show,30000000.0,21600000.0,19950825
10802,Showgirls,45000000.0,20350754.0,19950922
10149,Smoke,7000000.0,8349430.0,19950609
18402,Something to Talk About,12000000.0,50892160.0,19950804
9348,Species,35000000.0,113374103.0,19950707
281,Strange Days,42000000.0,7959291.0,19951013
79593,The Tie That Binds,14000000.0,5780000.0,19950908
47939,Three Wishes,780000.0,7025496.0,19951027
36834,Total Eclipse,8000000.0,339889.0,19951102
3512,Under Siege 2: Dark Territory,60000000.0,104324083.0,19950713
9560,A Walk in the Clouds,20000000.0,50012507.0,19950811
9804,Waterworld,175000000.0,264218220.0,19950728
26258,Bushwhacked,27440000.0,27729359.0,19950804
50797,Burnt by the Sun,2800000.0,2616503.0,19940501
76,Before Sunrise,2500000.0,5535405.0,19950127
11017,Billy Madison,10000000.0,26488734.0,19950210
9382,Boys on the Side,21000000.0,23450000.0,19950203
6715,The Cure,43000000.0,56681566.0,19950421
18256,Castle Freak,8000000.0,4600000.0,19950804
1909,Don Juan DeMarco,25000000.0,22200000.0,19941001
8984,Disclosure,55000000.0,214015089.0,19941209
61813,Dream Man,2800000.0,26000000.0,19950101
4954,Drop Zone,45000000.0,8009329.0,19941208
11929,Dolores Claiborne,12000000.0,38528984.0,19950324
8467,Dumb and Dumber,16000000.0,247275374.0,19941216
10451,Eat Drink Man Woman,21000000.0,7294403.0,19940803
20156,Exotica,4000000.0,851156.0,19940924
522,Ed Wood,18000000.0,5887457.0,19940927
10525,Forget Paris,7000000.0,6000000.0,19950519
27303,Hideaway,15000000.0,12201255.0,19950303
47867,Gordy,7000000.0,3992809.0,19950512
72031,The Glass Shield,20000000.0,18900000.0,19940916
14275,Hoop Dreams,20000000.0,7830611.0,19940912
1024,Heavenly Creatures,5000000.0,3049135.0,19940902
17207,Houseguest,10500000.0,26325256.0,19950106
11777,I.Q.,25000000.0,4100000.0,19941224
628,Interview with the Vampire,60000000.0,223664608.0,19941111
87729,Jefferson in Paris,491000.0,2474000.0,19950331
6280,Junior,60000000.0,37000000.0,19941122
6071,Kiss of Death,40000000.0,111898845.0,19950421
11,Star Wars,11000000.0,775398007.0,19770525
9587,Little Women,18000000.0,29882645.0,19941221
18183,Like Water for Chocolate,2000000.0,21665468.0,19920416
4476,Legends of the Fall,30000000.0,160638883.0,19941216
47504,Little Odessa,2280000.0,1700000.0,19941027
43742,Love Affair,60000000.0,3000000.0,19941021
28313,Losing Isaiah,17000000.0,7603766.0,19950317
3036,Mary Shelley's Frankenstein,45000000.0,112006296.0,19941104
40490,Man of the House,10000000.0,4000000.0,19950303
24070,Mixed Nuts,15000000.0,11000000.0,19941221
10510,Miracle on 34th Street,825000.0,46264384.0,19941118
8438,Murder in the First,3000000.0,17381942.0,19950120
1945,Nell,31000000.0,106683817.0,19941223
63105,Nemesis 2 - Nebula,18000000.0,11500000.0,19950926
131957,Nina Takes a Lover,6000000.0,7185518.0,19950303
241,Natural Born Killers,3000000.0,50282766.0,19940825
9058,Only You,3500000.0,11600000.0,19940917
