movie_id,company_id
2320,6370
11971,4869
11971,285
2625,6013
2625,4803
31911,6370
31911,5860
31911,4130
788,6062
788,754
11231,1303
10447,1303
10447,4354
10447,231
10447,4559
9300,3815
9300,3305
9300,165
9559,3623
9559,6370
9800,6013
9800,1259
713,4089
713,5779
713,1141
713,2974
8291,1302
18133,5977
25557,2641
10872,5977
10872,1671
1245,1302
1245,3771
11858,1204
11858,5977
7007,6062
7007,6347
5550,4302
8005,2320
8005,6062
8005,839
2088,6503
2088,4591
2088,2624
47889,5008
47889,2274
14534,6013
56583,1538
56583,4059
56583,1004
41878,5361
41878,3226
424,6154
424,267
35233,6062
35233,5121
14291,3859
11236,287
11236,6370
11592,5133
11592,4577
8850,6154
10445,5218
10445,5133
695,2123
695,5440
695,493
43535,5977
12519,3864
12519,5125
12519,829
12519,5093
23210,3784
23210,4088
23210,3603
858,6013
867,4420
867,4942
78,5229
78,6370
78,5834
13203,2641
10442,6013
9607,2641
9607,1204
9607,231
9607,6348
9607,4143
17585,4085
9057,2641
9057,4588
9057,2887
9057,4164
20967,4897
10635,6013
10635,3925
9479,5913
9479,5314
9479,5977
10057,6354
10057,989
11969,2641
11969,1204
319,1542
319,472
319,6370
319,3909
15139,6062
15139,6059
161158,6086
161158,5849
161158,225
85247,4879
85247,3129
24405,6370
24405,3909
8223,1141
8223,1789
41653,5063
41653,4173
41653,5599
41653,5601
17600,2123
17600,5610
17600,859
21352,4420
37345,6013
25403,5068
25403,3226
25403,570
771,6062
771,2691
251,4420
812,6354
280,3387
280,4354
280,960
280,1001
280,5625
581,5904
581,3616
80350,5226
268,4588
268,5815
268,6370
274,4302
274,5536
408,6355
10020,6354
10020,6351
10020,5295
10895,4755
10895,6355
114,5977
114,5295
41043,5367
41043,3226
41043,2186
576,6380
59146,3455
30528,6062
30528,6111
7300,6062
7300,2208
7300,6236
7300,4983
10824,4690
10824,4588
275,4588
275,6503
25059,6354
11827,954
8766,3864
8766,1629
8766,5986
23570,3864
23570,5793
10112,6355
46029,4588
46029,3439
46029,5977
46029,2887
46029,5355
46029,2000
52873,5637
52873,3323
12520,1303
12520,5868
12520,6327
1592,4420
19042,3784
47449,1539
47449,5325
47449,1515
2021,2433
2021,3609
2021,960
2021,830
2021,4591
61752,2217
61752,48
287305,6419
10684,6062
10684,1539
954,4420
954,1434
68445,2746
68445,2031
68445,4385
8840,6154
16417,1648
16417,3184
16417,5970
10539,6354
10539,231
47502,4085
47502,3864
11902,3174
11902,586
25087,1947
5801,2425
3065,6154
3065,2429
3065,664
2300,6374
2300,4197
2300,1400
8069,4420
8069,1634
8069,3658
288173,3375
221917,1018
221917,1303
221917,7
8072,2110
8072,454
8072,1095
83857,3816
33245,4277
40001,6013
29621,6198
29621,6037
29621,4306
48260,1498
48260,3778
48260,830
753,3701
753,6359
753,1956
9103,6154
9103,5282
9103,3532
9103,5188
10990,3784
12233,6354
12233,5294
36355,6154
36355,5785
36355,281
37667,1648
37667,816
37667,3863
11876,2223
11876,2517
11876,960
73183,6497
9100,1302
9802,2641
9802,1671
664,6154
664,267
664,6370
664,1345
11867,4690
11867,1513
11867,4588
314352,5003
314352,3563
314352,4650
9323,566
9323,3168
9323,4667
10280,4420
10280,5441
10535,2641
935,2572
935,1303
40751,635
9826,4420
9826,6267
9826,5834
9879,1302
9879,1018
7095,287
7095,2641
7095,2445
46732,2123
46732,1086
627,3864
627,1076
627,4160
627,2014
627,2055
32872,4420
32872,3238
602,6062
602,1055
9566,6013
9566,3630
10545,6354
9894,1303
11543,3924
11543,3784
9268,3178
9268,6370
9327,2770
9327,6154
44535,2838
44535,933
44535,3491
11228,6154
11228,1539
10779,6476
10779,6154
26748,1018
